File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes,,Fiscal Quarter Number,
SSA-DATES1.csv,1,6/1/2010,7/6/2001,7/6/2001,2001-07,4,2001-09,2001,2001-4,40,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,7/13/2001,7/13/2001,2001-07,4,2001-09,2001,2001-4,41,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,7/20/2001,7/20/2001,2001-07,4,2001-09,2001,2001-4,42,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,7/27/2001,7/27/2001,2001-07,4,2001-09,2001,2001-4,43,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/3/2001,8/3/2001,2001-08,5,2001-09,2001,2001-4,44,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/10/2001,8/10/2001,2001-08,5,2001-09,2001,2001-4,45,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/17/2001,8/17/2001,2001-08,5,2001-09,2001,2001-4,46,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/24/2001,8/24/2001,2001-08,5,2001-09,2001,2001-4,47,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/31/2001,8/31/2001,2001-08,5,2001-09,2001,2001-4,48,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/7/2001,9/7/2001,2001-09,4,2001-09,2001,2001-4,49,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/14/2001,9/14/2001,2001-09,4,2001-09,2001,2001-4,50,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/21/2001,9/21/2001,2001-09,4,2001-09,2001,2001-4,51,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/28/2001,9/28/2001,2001-09,4,2001-09,2001,2001-4,52,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,10/5/2001,10/5/2001,2001-10,4,2001-12,2002,2002-1,1,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,10/12/2001,10/12/2001,2001-10,4,2001-12,2002,2002-1,2,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,10/19/2001,10/19/2001,2001-10,4,2001-12,2002,2002-1,3,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,10/26/2001,10/26/2001,2001-10,4,2001-12,2002,2002-1,4,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/2/2001,11/2/2001,2001-11,5,2001-12,2002,2002-1,5,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/9/2001,11/9/2001,2001-11,5,2001-12,2002,2002-1,6,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/16/2001,11/16/2001,2001-11,5,2001-12,2002,2002-1,7,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/23/2001,11/23/2001,2001-11,5,2001-12,2002,2002-1,8,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/30/2001,11/30/2001,2001-11,5,2001-12,2002,2002-1,9,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/7/2001,12/7/2001,2001-12,4,2001-12,2002,2002-1,10,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/14/2001,12/14/2001,2001-12,4,2001-12,2002,2002-1,11,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/21/2001,12/21/2001,2001-12,4,2001-12,2002,2002-1,12,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/28/2001,12/28/2001,2001-12,4,2001-12,2002,2002-1,13,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,1/4/2002,1/4/2002,2002-01,4,2002-03,2002,2002-2,14,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,1/11/2002,1/11/2002,2002-01,4,2002-03,2002,2002-2,15,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,1/18/2002,1/18/2002,2002-01,4,2002-03,2002,2002-2,16,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,1/25/2002,1/25/2002,2002-01,4,2002-03,2002,2002-2,17,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,2/1/2002,2/1/2002,2002-02,4,2002-03,2002,2002-2,18,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,2/8/2002,2/8/2002,2002-02,4,2002-03,2002,2002-2,19,2002,2002-1,2002-03,,,2002,2
